City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,albany,42.6001,-73.9662,5.32,51,25,3.13,US,1743521024
1,adamstown,-25.066,-130.1015,24.78,81,1,3.53,PN,1743521026
2,nalut,30.3333,10.85,23.87,14,1,9.52,LY,1743521028
3,papatowai,-46.5619,169.4708,12.25,89,100,4.63,NZ,1743521029
4,caleta de carquin,-11.0925,-77.6267,21.83,81,97,3.37,PE,1743521031
5,hovd,48.0056,91.6419,3.47,30,0,4.19,MN,1743520891
6,port elizabeth,-33.918,25.5701,20.73,79,0,9.77,ZA,1743520740
7,vila franca do campo,37.7167,-25.4333,13.23,66,76,10.68,PT,1743521034
8,marrakesh,31.6315,-8.0083,23.04,43,75,4.63,MA,1743520873
9,kingston,17.997,-76.7936,30.65,55,20,7.2,JM,1743520230
10,port-aux-francais,-49.35,70.2167,7.71,96,100,10.39,TF,1743521038
11,midvagur,62.0511,-7.1939,9.46,93,75,7.72,FO,1743521039
12,el porvenir,13.7617,-87.3458,28.12,61,71,1.46,HN,1743520825
13,heyuan,23.7333,114.6833,13.77,73,0,1.72,CN,1743521042
14,namibe,-15.1961,12.1522,25.18,79,99,3.63,AO,1743521043
15,puerto natales,-51.7236,-72.4875,7.25,61,40,9.26,CL,1743521044
16,walvis bay,-22.9575,14.5053,22.53,60,0,4.63,NA,1743521045
17,moanda,-1.5575,13.2178,31.13,64,100,2.18,GA,1743521047
18,blackmans bay,-43.0167,147.3167,11.07,85,96,2.31,AU,1743521048
19,tabou,4.423,-7.3528,29.2,73,64,4.09,CI,1743521049
20,tura,25.5198,90.2201,25.31,31,5,2.05,IN,1743521051
21,hawaiian paradise park,19.5933,-154.9731,21.05,72,0,3.6,US,1743521052
22,kodiak,57.79,-152.4072,8.73,49,0,4.63,US,1743521053
23,grytviken,-54.2811,-36.5092,1.28,86,68,18.04,GS,1743521054
24,benguela,-12.5763,13.4055,25.77,87,100,2.61,AO,1743521056
25,avarua,-21.2078,-159.775,26.84,81,99,2.29,CK,1743521057
26,badger,64.8,-147.5333,1.14,91,100,8.23,US,1743521058
27,puerto ayora,-0.7393,-90.3518,28.08,90,11,0.45,EC,1743520789
28,whitehorse,60.7161,-135.0538,-4.57,86,75,1.03,CA,1743520895
29,lompoc,34.6391,-120.4579,11.12,81,100,3.09,US,1743521062
30,colonia,50.9333,6.95,14.95,41,0,5.66,DE,1743520886
31,alice springs,-23.7,133.8833,16.75,100,100,4.12,AU,1743521065
32,suva,-18.1416,178.4415,25.71,100,75,2.57,FJ,1743520520
33,saipan,15.1355,145.701,27.39,74,40,6.17,MP,1743520883
34,ilulissat,69.2167,-51.1,-11.99,67,100,5.14,GL,1743521069
35,ancud,-41.8697,-73.8203,11.73,74,58,2.21,CL,1743521070
36,san mariano,7.5,126.0,23.43,93,100,0.79,PH,1743521071
37,praia,14.9215,-23.5087,25.3,57,20,10.29,CV,1743521072
38,dubbo,-32.25,148.6167,17.07,72,100,5.14,AU,1743521074
39,stanley,54.868,-1.6985,14.17,56,0,4.12,GB,1743521075
40,gadani,25.1185,66.7299,26.61,68,0,2.35,PK,1743521076
41,denison,33.7557,-96.5367,17.01,84,75,8.23,US,1743520825
42,biloela,-24.4167,150.5,23.07,88,97,1.72,AU,1743521079
43,margaret river,-33.95,115.0667,16.93,71,99,6.5,AU,1743521080
44,hilo,19.7297,-155.09,21.17,80,0,3.6,US,1743521082
45,myrina,39.8797,25.0742,15.58,67,40,4.63,GR,1743521083
